Fecha,GravedadNombre,ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos
02/13/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,AV AVENIDA DE LAS AMERICAS-KR 78B 55,AV,AVENIDA DE LAS AMERICAS, , ,KR,78,B, ,KENNEDY,12/31/1899 08:30:00 AM,Tramo de Via,Normal,0,1
02/14/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 14-CL 84 S 02,KR,14, , ,CL,84, ,S,USME,12/31/1899 05:00:00 PM,Tramo de Via,Normal,0,0
02/29/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,CL 32-KR 14 02,CL,32, , ,KR,14, , ,TEUSAQUILLO,12/31/1899 11:40:00 AM,Tramo de Via,Normal,0,1
03-02-16 0:00,Con Heridos,Atropello, , , , , ,0,0,AV AVENIDA PRIMERO DE MAYO-KR 41B S 02,AV,AVENIDA PRIMERO DE MAYO, , ,KR,41,B,S,KENNEDY,12/31/1899 10:40:00 PM,Tramo de Via,Normal,0,2
03-02-16 0:00,Con Heridos,Atropello, , , , , ,0,0,KR 19-CL 123 44,KR,19, , ,CL,123, , ,USAQUEN,12/31/1899 07:30:00 PM,Tramo de Via,Normal,0,1
02-01-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 7-CL 58 02,AK,7, , ,CL,58, , ,CHAPINERO,12/31/1899 09:00:00 PM,Tramo de Via,Normal,0,0
03-02-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 27-CL 17 S 02,KR,27, , ,CL,17, ,S,ANTONIO NARIÑO,12/31/1899 02:10:00 PM,Interseccion,Normal,0,0
03-02-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 33-CL 31 S 47,KR,33, , ,CL,31, ,S,TUNJUELITO,12/31/1899 11:15:00 AM,Interseccion,Normal,0,1
03-02-16 0:00,Con Muertos,Caida de ocupante, , , , , ,0,0,CL 51-KR 5F S 02,CL,51, ,S,KR,5,F, ,USME,12/31/1899 12:02:00 PM,Tramo de Via,Normal,1,0
03-03-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 45-CL 190 02,KR,45, , ,CL,190, , ,USAQUEN,12/31/1899 08:45:00 AM,Tramo de Via,Normal,0,0
03-03-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 76-KR 9 02,CL,76, , ,KR,9, , ,CHAPINERO,12/31/1899 05:30:00 PM,Interseccion,Normal,0,0
02/13/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 15-CL 122 50,AK,15, , ,CL,122, , ,USAQUEN,12/31/1899 10:50:00 AM,Tramo de Via,Normal,0,0
02/15/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 24-KR 13 02,CL,24, , ,KR,13, , ,SANTA FE,12/31/1899 04:00:00 AM,Interseccion,Normal,0,0
02/16/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,AK 45-CL 137A 03,AK,45, , ,CL,137,A, ,USAQUEN,12/31/1899 12:10:00 PM,Tramo de Via,Normal,0,0
02/16/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 26-KR 86D S 02,CL,26, ,S,KR,86,D, ,KENNEDY,12/31/1899 01:30:00 PM,Tramo de Via,Normal,0,0
